,A,B,C,D,E,F,G,H,I,J
58,RF-1316,BlueJet Tours,DEL-CCU,7700,04/02/26,12-02-2026,Closed,Priya S.,Portal,closed - agent informed
59,RF-1472,Sunrise Trips,BLR-DXB,28300,23/03/26,04-04-2026,Closed,Aditi M.,Portal,amount credited as per process
60,RF-1069,Peak Journeys,BLR-DXB,22200,01-04-2026,11-04-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
61,RF-1746,DeccanFly,BLR-DXB,24900,20-05-2026,05-06-2026,Closed,Aditi M.,Email,"refund processed, informed agent"
62,RF-1802,Orbit Travels,DEL-SIN,40500,11-02-2026,21-02-2026,Closed,Faizan K.,Portal,customer notified
63,RF-1262,Orbit Travels,DEL-CCU,5900,11-05-2026,20-05-2026,Closed,Rakesh N.,Phone,refund given
64,RF-1331,Wander Agency,GOI-BOM,,13-04-2026,24-04-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
65,RF-1145,Peak Journeys,DEL-DXB,21300,10-06-2026,14-06-2026,Working,Rakesh N.,Phone,waiting on supplier
66,RF-1312,ORBIT TRAVELS,PNQ-DEL,5400,26-05-2026,29-05-2026,Closed,Faizan K.,Phone,done
67,RF-1040,Voyage Desk,DEL-BOM,6400,01-05-2026,04-05-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
68,RF-1129,Global Wings,DEL-KTM,17600,27-06-2026,30-06-2026,Closed,Sneha R.,Phone,"refund processed, informed agent"
69,RF-1019,GoFly Holidays,DEL-KTM,13500,01-06-2026,10-06-2026,Closed,Rakesh N.,Portal,amount credited as per process
70,RF-1227,Peak Journeys,DEL-BOM,12300,18/06/26,30-06-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
71,RF-1764,Wander Agency,DEL-BOM,13400,29-06-2026,30-06-2026,Closed,Aditi M.,Phone,refund given
72,RF-1083,Wander Agency,BOM-BKK,33600,21-02-2026,01-03-2026,Closed,Priya S.,Email,refund given
73,RF-1021,Kaveri Tours,AMD-BOM,7000,02-03-2026,12-03-2026,Closed,Sneha R.,Phone,done
74,RF-1498,Kaveri Tours,DEL-KTM,14000,05-04-2026,09-04-2026,Closed,Rakesh N.,Portal,done
75,RF-1353,GoFly Holidays,AMD-BOM,8700,11/02/26,14/02/26,Closed,Priya S.,Portal,refund given
76,RF-1826,Pinnacle Getaways,DEL-CCU,8000,27-03-2026,31-03-2026,Closed,Rakesh N.,Phone,"refund processed, informed agent"
77,RF-1414,TripHub,BLR-DXB,28500,16-03-2026,24-03-2026,Closed,Rakesh N.,WhatsApp,closed - agent informed
78,RF-1426,Peak Journeys,BOM-BKK,13000,25/02/26,05-03-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
79,RF-1668,Peak Journeys,DEL-CCU,5000,11-06-2026,13-06-2026,Closed,Rakesh N.,Portal,customer notified
80,RF-1356,Skyline Travels,BOM-BKK,25200,18-03-2026,24-03-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
81,RF-1045,GoFly Holidays,CCU-BOM,10900,19-02-2026,26-02-2026,Closed,Faizan K.,Phone,"refund processed, informed agent"
82,RF-1327,Sunrise Trips,BOM-DXB,,26-02-2026,02-03-2026,Closed,Rakesh N.,Phone,customer notified
83,RF-1124,GoFly Holidays,HYD-DEL,11900,24-03-2026,31-03-2026,Closed,Priya S.,Phone,refund given
84,RF-1629,BlueJet Tours,DEL-BOM,12500,06-02-2026,12-02-2026,Closed,Faizan K.,,customer notified
85,RF-1062,DeccanFly,DEL-BOM,,16-05-2026,19-05-2026,Not Eligible,Priya S.,Phone,"no-show, not eligible"
86,rf-1650,BlueJet Tours,DEL-CCU,4200,06-04-2026,11-04-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
87,RF-1156,Peak Journeys,DEL-DXB,26200,12-03-2026,20-03-2026,Closed,Aditi M.,Portal,refund given
88,RF-1624,Wander Agency,HYD-BKK,13500,28-05-2026,07-06-2026,Closed,Aditi M.,WhatsApp,amount credited as per process
89,RF-1376,Anand Travels,HYD-DEL,12300,05-03-2026,16-03-2026,Not Eligible,Faizan K.,Portal,"no-show, not eligible"
90,RF-1514,Lotus Travel Co,DEL-DXB,31000,16-03-2026,23-03-2026,Closed,Sneha R.,Portal,done
91,RF-1069,Peak Journeys,BLR-DXB,22200,01-04-2026,11-04-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
92,RF-1596,Peak Journeys,DEL-BOM,6000,01-03-2026,09-03-2026,Closed,Faizan K.,Portal,done
93,RF-1850,ORBIT TRAVELS,BOM-BKK,32500,01-04-2026,11-04-2026,Closed,Sneha R.,Portal,closed - agent informed
94,RF-1555,Global Wings,HYD-DEL,12300,19-05-2026,26-05-2026,Closed,Rakesh N.,Portal,done
95,RF-1461,Skyline Travels,DEL-BOM,13200,27-06-2026,30-06-2026,Escalated,Aditi M.,Portal,under review
96,RF-1502,DeccanFly,DEL-DXB,22500,02-03-2026,06-03-2026,Closed,Sneha R.,Phone,amount credited as per process
97,RF-1616,Skyline Travels,COK-DXB,11700,30-03-2026,08-04-2026,Closed,Rakesh N.,Portal,closed - agent informed
98,RF-1362,SafarNama Travel,BLR-DXB,31400,05/04/26,13-04-2026,Closed,Faizan K.,Email,customer notified
99,RF-1500,Wander Agency,HYD-BKK,19900,03-05-2026,16-05-2026,Closed,Priya S.,Phone,closed - agent informed
100,RF-1126,METRO YATRA,GOI-BOM,3900,24-02-2026,05-03-2026,Closed,Faizan K.,Portal,refund given
101,RF-1759,Voyage Desk,DEL-CCU,12000,25-02-2026,01-03-2026,Closed,Vikram T.,Portal,customer notified
102,RF-1194,Metro Yatra,BOM-DXB,18300,07-02-2026,12-02-2026,Closed,Priya S.,,amount credited as per process
103,RF-1598,Voyage Desk,DEL-KUL,23300,20-05-2026,09-06-2026,Closed,Vikram T.,Portal,refund given
104,RF-1373,BlueJet Tours,DEL-KUL,13300,09-03-2026,17-03-2026,Not Eligible,Priya S.,Phone,non-refundable fare
105,RF-1315,Kaveri Tours,BOM-DXB,24600,19-06-2026,30-06-2026,Escalated,Rakesh N.,WhatsApp,pending confirmation
106,RF-1487,Yatri Junction,COK-DXB,28000,29-04-2026,07-05-2026,Closed,Aditi M.,Portal,refund given
107,RF-1825,Wander Agency,BLR-MAA,8000,17-02-2026,21-02-2026,Closed,,Portal,closed - agent informed
108,RF-1449,Voyage Desk,BOM-DXB,14400,02-03-2026,13-03-2026,Closed,Aditi M.,Email,amount credited as per process
109,RF-1742,BlueJet Tours,DEL-BOM,8600,20-03-2026,28-03-2026,Closed,Faizan K.,Portal,amount credited as per process
110,RF-1667,Nomad Travel,GOI-BOM,6400,15-05-2026,20-05-2026,Closed,Rakesh N.,Portal,refund given
111,RF-1384,BlueJet Tours,BLR-DXB,28900,07-02-2026,14-02-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
112,RF-1014,Global Wings,BLR-MAA,4100,24-03-2026,31-03-2026,Closed,Aditi M.,Portal,closed - agent informed
113,RF-1346,Nomad Travel,HYD-DEL,13000,25-03-2026,29-03-2026,Closed,Aditi M.,Email,amount credited as per process
114,RF-1762,BlueJet Tours,DEL-DXB,23000,19-03-2026,26-03-2026,Not Eligible,Faizan K.,Portal,"no-show, not eligible"
115,RF-1431,GoFly Holidays,DEL-CCU,12300,25-03-2026,01-04-2026,Closed,Sneha R.,Phone,amount credited as per process
116,RF-1619,GoFly Holidays,HYD-BKK,26200,06-03-2026,12-03-2026,Closed,Faizan K.,Portal,closed as per policy
117,RF-1454,Pinnacle Getaways,DEL-KUL,24300,25-02-2026,08-03-2026,Closed,Rakesh N.,Portal,done
118,RF-1097,TripHub,BLR-DXB,22200,01-04-2026,09-04-2026,Closed,Rakesh N.,Portal,refund given
119,RF-1181,Pinnacle Getaways,GOI-BOM,8800,05-06-2026,14-06-2026,Closed,Priya S.,Portal,amount credited as per process
120,RF-1242,BlueJet Tours,DEL-DXB,12900,04-03-2026,10-03-2026,Closed,Faizan K.,Phone,"refund processed, informed agent"
121,RF-1463,DeccanFly,DEL-BOM,9000,28-06-2026,30-06-2026,Working,Faizan K.,Portal,pending confirmation
122,RF-1417,Orbit Travels,PNQ-DEL,4100,26/05/26,02-06-2026,Closed,Priya S.,Email,done
123,RF-1796,Skyline Travels,DEL-BOM,5100,24-05-2026,30-05-2026,Closed,Aditi M.,Email,amount credited as per process
124,RF-1199,Nomad Travel,BOM-DXB,24700,13-05-2026,14-05-2026,Closed,Priya S.,Portal,refund given
125,RF-1666,TripHub,DEL-KTM,18700,02-03-2026,10-03-2026,Closed,Rakesh N.,Email,amount credited as per process
126,RF-1571,Orbit Travels,BLR-MAA,8000,21/04/26,28-04-2026,Closed,Priya S.,Email,refund given
127,RF-1492,Skyline Travels,BOM-BKK,,16-04-2026,27-04-2026,Closed,Sneha R.,Email,amount credited as per process
128,RF-1429,Lotus Travel Co,MAA-CMB,12500,29-04-2026,08-05-2026,Closed,Faizan K.,Portal,"refund processed, informed agent"
129,RF-1707,coral voyages,BLR-DXB,26400,11-05-2026,30-05-2026,Closed,Aditi M.,Portal,closed - agent informed
130,RF-1843,GoFly Holidays,BOM-DXB,24900,04-05-2026,20-05-2026,Closed,Priya S.,,done
131,RF-1800,Anand Travels,DEL-KUL,24800,30-03-2026,01-04-2026,Closed,Aditi M.,Portal,customer notified
132,RF-1711,TripHub,DEL-DXB,13600,14-03-2026,22-03-2026,Closed,Sneha R.,Phone,customer notified
133,RF-1149,BlueJet Tours,BOM-BKK,23900,03-04-2026,09-04-2026,Closed,Aditi M.,Portal,done
134,RF-1716,Lotus Travel Co,BOM-DXB,14200,24-05-2026,25-05-2026,Closed,Rakesh N.,Portal,customer notified
135,RF-1488,Peak Journeys,DEL-CCU,8800,18/05/26,29-05-2026,Closed,Sneha R.,Portal,closed - agent informed
136,RF-1176,DeccanFly,DEL-SIN,20000,06-03-2026,11-03-2026,Closed,Priya S.,Portal,closed - agent informed
137,RF-1798,gofly holidays,DEL-BOM,4300,16-05-2026,27-05-2026,Closed,Sneha R.,Email,"refund processed, informed agent"
138,RF-1044,Pinnacle Getaways,COK-DXB,21400,27-04-2026,05-05-2026,Closed,Sneha R.,Email,refund given
139,RF-1647,Voyage Desk,HYD-DEL,6300,03-05-2026,12/05/26,Closed,Aditi M.,Portal,done
140,RF-1202,TripHub,BLR-MAA,7900,15-02-2026,25-02-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
141,RF-1780,Wander Agency,HYD-BKK,12800,17/02/26,23-02-2026,Closed,Aditi M.,WhatsApp,customer notified
142,RF-1140,Kaveri Tours,COK-DXB,13100,24-02-2026,03-03-2026,Closed,Sneha R.,Email,done
143,RF-1670,SafarNama Travel,COK-DXB,22000,19-02-2026,25-02-2026,Closed,Rakesh N.,Portal,amount credited as per process
144,RF-1318,Kaveri Tours,HYD-DEL,11100,07-03-2026,12-03-2026,Closed,Priya S.,Portal,amount credited as per process
145,RF-1442,DeccanFly,MAA-CMB,14600,01-05-2026,09-05-2026,Closed,Faizan K.,Portal,amount credited as per process
146,RF-1319,Skyline Travels,GOI-BOM,6300,30-04-2026,08-05-2026,Closed,Aditi M.,Portal,"refund processed, informed agent"
147,RF-1613,Kaveri Tours,AMD-BOM,7100,24-06-2026,28-06-2026,Working,Sneha R.,Portal,waiting on supplier
148,RF-1075,Nomad Travel,DEL-BOM,12600,13-05-2026,14-05-2026,Closed,Priya S.,Email,customer notified
149,RF-1683,Skyline Travels,DEL-SIN,22100,14-02-2026,25-02-2026,Not Eligible,Vikram T.,Portal,past cancellation window
150,RF-1192,Yatri Junction,AMD-BOM,9600,03-05-2026,08-05-2026,Closed,Aditi M.,Email,customer notified
151,RF-1477,Orbit Travels,BLR-DXB,20800,22-06-2026,24-06-2026,Closed,Vikram T.,Portal,done
152,RF-1508,Metro Yatra,DEL-BOM,13700,21-04-2026,23-04-2026,Closed,Rakesh N.,Portal,customer notified
153,RF-1524,Orbit Travels,HYD-BKK,22900,21-04-2026,27-04-2026,Closed,Aditi M.,Phone,refund given
154,RF-1549,Peak Journeys,DEL-KTM,15400,07-06-2026,16-06-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
155,RF-1694,Skyline Travels,BLR-MAA,6400,07-05-2026,15-05-2026,Closed,Priya S.,Portal,refund given
156,RF 1512,Metro Yatra,CCU-BOM,7100,14-04-2026,19-04-2026,Closed,Priya S.,Portal,done
157,RF-1147,Global Wings,AMD-BOM,3700,21-03-2026,30-03-2026,Closed,Aditi M.,Portal,amount credited as per process
158,RF-1769,Anand Travels,DEL-DXB,10800,22-02-2026,03-03-2026,Closed,Faizan K.,Portal,refund given
159,RF-1304,Nomad Travel,DEL-KTM,9700,04-03-2026,11-03-2026,Closed,Rakesh N.,Portal,done
160,RF-1476,BlueJet Tours,PNQ-DEL,10800,24-05-2026,30-05-2026,Closed,Priya S.,Phone,done
161,RF-1841,Peak Journeys,BLR-MAA,9000,24-03-2026,29-03-2026,Closed,Priya S.,Portal,closed - agent informed
162,RF-1226,Orbit Travels,MAA-CMB,17300,31-05-2026,11-06-2026,Closed,Aditi M.,Phone,customer notified
163,RF-1422,Wander Agency,BOM-DXB,10200,18/05/26,26-05-2026,Closed,Faizan K.,Portal,amount credited as per process
164,RF-1273,triphub,PNQ-DEL,6500,13-05-2026,13-05-2026,Closed,Rakesh N.,Portal,done
165,RF-1198,GoFly Holidays,PNQ-DEL,10800,17/06/26,29-06-2026,Closed,Faizan K.,Email,"refund processed, informed agent"
166,RF-1184,Nomad Travel,COK-DXB,11000,10-03-2026,15-03-2026,Closed,Aditi M.,Portal,refund given
167,RF-1824,GoFly Holidays,BLR-DXB,16500,01-04-2026,08-04-2026,Closed,Priya S.,WhatsApp,customer notified
168,RF-1023,Peak Journeys,DEL-DXB,12900,11-05-2026,18-05-2026,Closed,Faizan K.,Email,done
169,RF-1379,BlueJet Tours,DEL-BOM,12000,04-03-2026,08-03-2026,Closed,Rakesh N.,Portal,customer notified
170,RF-1111,TripHub,HYD-BKK,30500,19-03-2026,29-03-2026,Closed,Faizan K.,Phone,closed - agent informed
171,RF-1597,Peak Journeys,DEL-CCU,7700,27-02-2026,27-02-2026,Closed,Priya S.,Email,customer notified
172,RF-1163,Metro Yatra,HYD-DEL,5100,07-03-2026,10-03-2026,Closed,Sneha R.,WhatsApp,refund given
173,RF-1397,Lotus Travel Co,DEL-KUL,13200,08-04-2026,17-04-2026,Closed,Rakesh N.,Portal,closed - agent informed
174,RF-1142,Himalaya  Holidays,BLR-DXB,18000,12-06-2026,23-06-2026,Closed,Vikram T.,WhatsApp,"refund processed, informed agent"
175,RF-1778,Skyline Travels,DEL-KUL,28700,02-06-2026,15-06-2026,Escalated,Aditi M.,Phone,under review
176,RF-1073,Peak Journeys,BLR-MAA,7500,10-06-2026,19-06-2026,Closed,Rakesh N.,Portal,customer notified
177,RF-1659,BlueJet Tours,DEL-KUL,18000,29-03-2026,05-04-2026,Closed,,Phone,refund given
178,RF-1306,Skyline Travels,HYD-DEL,8600,24-06-2026,30-06-2026,Escalated,Rakesh N.,Portal,pending confirmation
179,RF-1278,Kaveri Tours,BLR-DXB,10500,09-02-2026,18-02-2026,Closed,Vikram T.,Phone,amount credited as per process
180,RF-1013,Sunrise Trips,CCU-BOM,4600,21-03-2026,30-03-2026,Closed,Priya S.,Phone,done
181,RF-1333,Nomad Travel,DEL-SIN,40600,11-04-2026,19-04-2026,Closed,Vikram T.,Portal,customer notified
182,RF-1268,ZipTrip,DEL-CCU,11800,18-03-2026,26-03-2026,Closed,,Portal,"refund processed, informed agent"
183,RF-1302,Pinnacle Getaways,DEL-DXB,11300,17-05-2026,26-05-2026,Closed,Sneha R.,Phone,done
184,RF-1795,Kaveri Tours,DEL-DXB,12800,19-06-2026,30/06/26,Closed,,Portal,refund given
185,RF-1203,Peak Journeys,HYD-DEL,5500,31-05-2026,13-06-2026,Closed,Sneha R.,WhatsApp,customer notified
186,RF-1470,Kaveri Tours,DEL-CCU,8300,26-04-2026,03-05-2026,Closed,Rakesh N.,Portal,amount credited as per process
187,RF-1601,TripHub,DEL-DXB,30400,08-02-2026,15-02-2026,Closed,Priya S.,Portal,closed - agent informed
188,RF-1727,Anand Travels,BOM-DXB,30000,23-06-2026,25-06-2026,Closed,Rakesh N.,Portal,done
189,RF-1642,BlueJet Tours,BOM-DXB,16200,08-02-2026,14-02-2026,Closed,Aditi M.,Portal,closed - agent informed
190,RF-1587,Global Wings,BLR-MAA,10100,06-06-2026,14-06-2026,Closed,Vikram T.,Email,closed - agent informed
191,RF-1804,TripHub,BOM-DXB,30200,18-04-2026,24-04-2026,Closed,Aditi M.,Email,refund given
192,RF-1785,GoFly Holidays,BLR-DXB,17900,30-03-2026,09-04-2026,Closed,Rakesh N.,Portal,done
193,RF-1244,SKYLINE TRAVELS,DEL-CCU,11000,18-04-2026,24-04-2026,Closed,Sneha R.,Phone,closed - agent informed
194,RF-1714,Yatri Junction,DEL-KUL,22100,24-06-2026,28-06-2026,Working,Priya S.,Email,with finance team
195,RF-1740,BlueJet Tours,GOI-BOM,5400,24-04-2026,01-05-2026,Closed,Vikram T.,Portal,customer notified
196,RF-1464,Voyage  Desk,BLR-DXB,29500,02-02-2026,09-02-2026,Not Eligible,Vikram T.,Portal,past cancellation window
197,RF-1313,SafarNama Travel,HYD-BKK,18700,09-06-2026,18-06-2026,Closed,Faizan K.,Phone,done
198,RF-1323,Kaveri Tours,HYD-BKK,16100,02-06-2026,08-06-2026,Closed,Faizan K.,Email,done
199,RF-1006,DeccanFly,GOI-BOM,4500,07-02-2026,16-02-2026,Closed,Aditi M.,Email,refund given
200,RF-1681,BlueJet Tours,BLR-MAA,9800,25-02-2026,06-03-2026,Closed,Priya S.,,customer notified
201,RF-1754,Metro Yatra,DEL-CCU,4700,13-03-2026,23-03-2026,Closed,Faizan K.,Portal,customer notified
202,RF-1718,Nomad Travel,DEL-DXB,24600,02-03-2026,09-03-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
203,RF-1196,BlueJet Tours,DEL-DXB,30900,08-04-2026,17-04-2026,Closed,Rakesh N.,Portal,"refund processed, informed agent"
204,RF-1277,TripHub,DEL-KTM,11600,20-06-2026,28/06/26,Closed,Aditi M.,,"refund processed, informed agent"
205,RF-1282,Wander Agency,HYD-BKK,12400,05-05-2026,12-05-2026,Closed,Rakesh N.,Phone,amount credited as per process
206,RF-1657,Voyage Desk,DEL-KTM,11600,26-04-2026,30-04-2026,Closed,Priya S.,Phone,done
207,RF-1579,Skyline Travels,MAA-CMB,10700,24-04-2026,03-05-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
208,RF-1767,Wander Agency,DEL-KUL,31800,26/04/26,03-05-2026,Closed,Rakesh N.,Phone,customer notified
209,RF-1603,Wander Agency,DEL-KUL,24500,04-03-2026,13-03-2026,Closed,Vikram T.,Phone,"refund processed, informed agent"
210,RF 1653,Himalaya Holidays,DEL-SIN,28300,07-02-2026,16-02-2026,Closed,Vikram T.,Phone,"refund processed, informed agent"
211,RF-1830,Pinnacle Getaways,DEL-BOM,10300,07-02-2026,16-02-2026,Closed,Aditi M.,Portal,done
212,RF-1130,GoFly Holidays,BLR-DXB,26100,05-05-2026,19-05-2026,Closed,Sneha R.,Email,done
213,RF-1856,Yatri Junction,BLR-DXB,28800,04/06/26,14-06-2026,Closed,Vikram T.,Portal,refund given
214,RF-1070,Lotus Travel Co,CCU-BOM,13700,15-05-2026,21-05-2026,Closed,Priya S.,WhatsApp,refund given
215,RF-1161,Nomad Travel,DEL-DXB,18700,18-05-2026,31-05-2026,Closed,Faizan K.,Email,refund given
216,RF-1689,Voyage Desk,BLR-DXB,32100,08-05-2026,03-06-2026,Closed,Sneha R.,Phone,closed - agent informed
217,RF-1791,TripHub,BLR-DXB,19600,25-06-2026,30-06-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
218,RF-1085,ZipTrip,DEL-KTM,16500,19-05-2026,20-05-2026,Closed,,Portal,done
219,RF-1059,BlueJet Tours,HYD-DEL,7000,28-03-2026,05-04-2026,Closed,Rakesh N.,Portal,closed - agent informed
220,RF-1581,Yatri Junction,COK-DXB,14300,03-02-2026,08-02-2026,Closed,Priya S.,Portal,amount credited as per process
221,RF-1640,Peak Journeys,CCU-BOM,11300,28-05-2026,02-06-2026,Closed,Sneha R.,Phone,done
222,RF-1218,Voyage Desk,DEL-DXB,26700,07-02-2026,19-02-2026,Closed,,Phone,done
223,RF-1853,Coral Voyages,PNQ-DEL,8400,06-03-2026,13-03-2026,Closed,Priya S.,Portal,"refund processed, informed agent"
224,RF-1810,BlueJet Tours,MAA-CMB,15100,20-05-2026,23-05-2026,Closed,Sneha R.,Portal,refund given
