Ref No,Agent Name,Sector,Amount Paid (INR),Deduction (INR),Received On,Processed On,Payout Status,Approved By,Remarks
RF-1840,GoFly Holidays,DEL-DXB,27600,,12-03-2026,15-03-2026,Refund Done,R. Menon,transferred
RF-1603,Wander Agency,DEL-KUL,24500,0,08-03-2026,12-03-2026,Refund Done,R. Menon,paid to wallet
RF-1169,Peak Journeys,BOM-BKK,,1900,24-06-2026,,Pending Payout,,supplier not confirmed
RF-1849,BlueJet Tours,DEL-KUL,24900,0,11-02-2026,16-02-2026,Refund Done,N. Iyer,payout complete
RF-1515,Metro Yatra,DEL-DXB,17000,0,26-04-2026,28-04-2026,Refund Done,,payout complete
RF-1281,Voyage Desk,DEL-BOM,,0,30-06-2026,,Pending Payout,,hold - amount mismatch
rf-1575,Voyage Desk,DEL-KTM,12600,0,01-03-2026,05-03-2026,Refund Done,,paid to wallet
RF-1345,BlueJet Tours,DEL-CCU,5600,0,03/02/26,05-02-2026,Refund Done,,paid to wallet
RF-1616,Skyline Travels,COK-DXB,11700,0,03-04-2026,06-04-2026,Refund Done,,NEFT done
RF-1753,DeccanFly,DEL-DXB,17000,0,02-05-2026,04-05-2026,Refund Done,,settled
RF-1308,BlueJet  Tours,HYD-BKK,33000,0,06-03-2026,11-03-2026,Refund Done,N. Iyer,payout complete
RF-1203, Peak Journeys,HYD-DEL,5500,0,03-06-2026,09-06-2026,Refund Done,,transferred
RF1109,Voyage Desk,BLR-DXB,27700,0,12-03-2026,15-03-2026,Refund Done,R. Menon,payout complete
rf1251,Wander Agency,DEL-DXB,11800,0,21-04-2026,22-04-2026,Refund Done,,payout complete
RF-1279,Peak Journeys,BOM-DXB,22400,0,02-04-2026,05-04-2026,Refund Done,N. Iyer,paid to wallet
RF-1392,Skyline Travels,DEL-KUL,0,0,09-05-2026,10-05-2026,Declined,,rejected by policy
RF-1443,BlueJet Tours,HYD-DEL,11900,0,13/02/26,15-02-2026,Refund Done,,payout complete
RF-1219,Kaveri Tours,BLR-DXB,,0,27-06-2026,,Pending Payout,,awaiting approval
RF-1004,Sunrise Trips,MAA-CMB,15900,0,11-06-2026,17-06-2026,Refund Done,,settled
RF-1303,Nomad Travel,HYD-DEL,5100,,25-04-2026,26-04-2026,Refund Done,,payout complete
RF-1608,TripHub,DEL-DXB,26700,0,11-04-2026,15-04-2026,Refund Done,N. Iyer,settled
RF-1122,Wander Agency,DEL-KUL,,2600,05-06-2026,,Pending Payout,,awaiting approval
RF-1667,Nomad Travel,GOI-BOM,6400,0,16-05-2026,19-05-2026,Refund Done,,transferred
RF-1125,Global Wings,MAA-CMB,6800,0,04-05-2026,06-05-2026,Refund Done,,paid to wallet
RF-1296,Skyline Travels,BLR-DXB,20900,,18-03-2026,24-03-2026,Refund Done,N. Iyer,settled
RF-1070,lotus travel co,CCU-BOM,13700,,17-05-2026,18-05-2026,Refund Done,,payout complete
RF-1720,Lotus Travel Co,BOM-BKK,15300,0,20/05/26,24-05-2026,Refund Done,,NEFT done
RF-1843,GoFly Holidays,BOM-DXB,22900,2000,06-05-2026,18-05-2026,Refund Done,S. Bhatt,payout complete
RF-1145,Peak Journeys,DEL-DXB,,1700,13-06-2026,,Pending Payout,,in queue
RF-1393,DeccanFly,BLR-DXB,20900,,22-02-2026,26/02/26,Refund Done,N. Iyer,NEFT done
RF-1500,Wander Agency,HYD-BKK,18300,1600,07-05-2026,12-05-2026,Refund Done,,transferred
RF-1522,Nomad Travel,MAA-CMB,13400,0,04/03/26,06-03-2026,Refund Done,,paid to wallet
RF-1317,Nomad Travel,DEL-DXB,18500,0,04-04-2026,06-04-2026,Refund Done,,NEFT done
RF-1555,Global Wings,HYD-DEL,12300,,22-05-2026,26-05-2026,Refund Done,,transferred
RF-1393,DeccanFly,BLR-DXB,20900,,22-02-2026,26/02/26,Refund Done,N. Iyer,re-entry
RF-1535,Sunrise Trips,BOM-BKK,22000,,11-05-2026,23/05/26,Refund Done,N. Iyer,settled
RF-1389,Orbit Travels,BLR-DXB,19000,0,14-02-2026,16-02-2026,Refund Done,,payout complete
RF-1690,Voyage Desk,CCU-BOM,5500,0,09-04-2026,12-04-2026,Refund Done,,paid to wallet
RF-1394,BlueJet Tours,DEL-KTM,11300,0,22-04-2026,24/04/26,Refund Done,,paid to wallet
RF-1262,Orbit Travels,DEL-CCU,5900,,15-05-2026,16-05-2026,Refund Done,,payout complete
RF-1185,Skyline Travels,DEL-DXB,14400,0,28-03-2026,01-04-2026,Refund Done,,payout complete
RF-1275,Nomad Travel,COK-DXB,,0,30-06-2026,,Pending Payout,,awaiting approval
RF-1526,BlueJet Tours,DEL-KUL,24500,2100,15/05/26,05-06-2026,Refund Done,N. Iyer,payout complete
RF-1735,TripHub,DEL-CCU,8800,,29/04/26,01-05-2026,Refund Done,,paid to wallet
RF-1682,Voyage Desk,COK-DXB,15700,0,26-03-2026,27-03-2026,Refund Done,,NEFT done
RF-1583,Anand Travels,DEL-BOM,11700,,12-03-2026,14/03/26,Refund Done,,payout complete
RF-1484,BlueJet Tours,DEL-BOM,7400,,14-03-2026,18-03-2026,Refund Done,,settled
RF-1157,Skyline Travels,GOI-BOM,9100,0,11-05-2026,13-05-2026,Refund Done,,NEFT done
RF-1193,Wander Agency,AMD-BOM,0,0,02-04-2026,04-04-2026,Declined,,declined
RF-1090,ZipTrip,PNQ-DEL,10300,0,29-03-2026,02-04-2026,Refund Done,,NEFT done
RF-1403,Peak Journeys,DEL-BOM,11000,,20-02-2026,24-02-2026,Refund Done,,settled
RF-1573,Nomad Travel,DEL-DXB,0,0,27-06-2026,29-06-2026,Declined,,outside cancellation window
RF-1815 (revised),TripHub,DEL-BOM,10300,0,21-04-2026,23-04-2026,Refund Done,,settled
RF-1474,kaveri tours,BLR-MAA,5100,,24-05-2026,28-05-2026,Refund Done,,transferred
RF 1123,BlueJet Tours,BOM-BKK,,0,11-06-2026,,Pending Payout,,supplier not confirmed
RF-1041,GoFly Holidays,PNQ-DEL,6500,0,11-06-2026,17-06-2026,Refund Done,,payout complete
RF-1683,Skyline Travels,DEL-SIN,0,0,15-02-2026,20-02-2026,Declined,,declined
RF-1349,Nomad Travel,DEL-BOM,11200,0,16-05-2026,21-05-2026,Refund Done,,paid to wallet
RF-1473,Wander Agency,BLR-DXB,13400,,13-03-2026,15-03-2026,Refund Done,,transferred
RF-1082,Voyage Desk,BOM-BKK,0,0,13/06/26,18-06-2026,Declined,,rejected by policy
RF-1833,GoFly Holidays,DEL-KUL,13800,0,14-02-2026,18-02-2026,Refund Done,,transferred
RF-1505,BlueJet Tours,DEL-CCU,11200,0,23-05-2026,29/05/26,Refund Done,,payout complete
RF-1220,Yatri Junction,DEL-DXB,16200,,18-03-2026,19/03/26,Refund Done,,paid to wallet
RF-1445,Global Wings,BOM-DXB,12800,0,04-03-2026,05-03-2026,Refund Done,,paid to wallet
RF-1421,BlueJet Tours,DEL-KUL,23000,0,07-02-2026,10-02-2026,Refund Done,N. Iyer,NEFT done
RF-1494,BlueJet Tours,BLR-DXB,10800,0,09-03-2026,11-03-2026,Refund Done,,NEFT done
RF-1783,Metro Yatra,DEL-CCU,0,,26-06-2026,01-07-2026,Declined,,rejected by policy
RF-1310,SafarNama Travel,DEL-KUL,25500,,25-03-2026,30-03-2026,Refund Done,N. Iyer,paid to wallet
RF-1300,Kaveri Tours,COK-DXB,12500,,09-02-2026,11-02-2026,Refund Done,,settled
RF-1602,SafarNama Travel,BOM-BKK,12400,0,10-06-2026,15/06/26,Refund Done,,settled
RF-1333,Nomad Travel,DEL-SIN,40600,0,14-04-2026,19/04/26,Refund Done,N. Iyer,settled
RF-1359,ZipTrip,COK-DXB,15600,0,10-02-2026,11-02-2026,Refund Done,,transferred
RF-1636,TripHub,MAA-CMB,15100,,27-04-2026,30/04/26,Refund Done,,transferred
RF-1524,Orbit Travels,HYD-BKK,22900,,25-04-2026,27-04-2026,Refund Done,N. Iyer,NEFT done
RF-1665,Himalaya Holidays,DEL-KUL,14000,0,19-03-2026,22/03/26,Refund Done,,settled
RF-1376,Anand Travels,HYD-DEL,0,0,07-03-2026,13-03-2026,Declined,,not approved
RF-1599,Skyline Travels,PNQ-DEL,11400,0,05-06-2026,08-06-2026,Refund Done,,paid to wallet
RF-1156,Peak Journeys,DEL-DXB,26200,0,16-03-2026,20-03-2026,Refund Done,N. Iyer,paid to wallet
RF-1519,Pinnacle Getaways,DEL-KUL,29700,0,02-03-2026,05-03-2026,Refund Done,N. Iyer,NEFT done
RF-1395,Wander Agency,COK-DXB,24100,,26-04-2026,30-04-2026,Refund Done,S. Bhatt,NEFT done
RF-1390,METRO YATRA,DEL-DXB,20500,1800,28-05-2026,12-06-2026,Refund Done,R. Menon,paid to wallet
RF-1044,Pinnacle Getaways,COK-DXB,21400,0,29-04-2026,04-05-2026,Refund Done,S. Bhatt,transferred
RF-1556,GoFly Holidays,DEL-DXB,14300,1500,20-05-2026,22-05-2026,Refund Done,,NEFT done
RF-1023,Peak Journeys,DEL-DXB,11400,1500,14-05-2026,15-05-2026,Refund Done,,payout complete
RF-1453,GoFly Holidays,DEL-KUL,20500,,29-04-2026,02-05-2026,Refund Done,N. Iyer,payout complete
RF-1724,TRIPHUB,DEL-DXB,27200,2400,10-05-2026,21-05-2026,Refund Done,N. Iyer,paid to wallet
RF-1646,BlueJet Tours,CCU-BOM,14100,0,05-05-2026,08-05-2026,Refund Done,,transferred
RF-1423,Metro Yatra,PNQ-DEL,5100,0,16/03/26,19-03-2026,Refund Done,,settled
RF-1046,SafarNama Travel,HYD-DEL,9500,0,05-04-2026,09-04-2026,Refund Done,,settled
RF-1176,DeccanFly,DEL-SIN,20000,0,10-03-2026,11-03-2026,Refund Done,,settled
RF-1466,Coral Voyages,BLR-DXB,23500,2000,13-05-2026,05-06-2026,Refund Done,N. Iyer,settled
RF-1180,Kaveri Tours,PNQ-DEL,,,27-06-2026,,Pending Payout,,supplier not confirmed
RF-1410,Sunrise Trips,BLR-MAA,8300,0,21-05-2026,23-05-2026,Refund Done,,NEFT done
RF-1736,Pinnacle Getaways,MAA-CMB,,1500,30-06-2026,,Pending Payout,,in queue
RF-1732,Metro Yatra,DEL-DXB,12400,0,24-02-2026,25-02-2026,Refund Done,,paid to wallet
RF-1265,Lotus Travel Co,HYD-DEL,7500,,13-05-2026,19-05-2026,Refund Done,,transferred
RF-1658,Pinnacle Getaways,DEL-BOM,10300,0,15/04/26,16-04-2026,Refund Done,,NEFT done
RF-1089,Sunrise Trips,DEL-SIN,31100,,19-04-2026,21-04-2026,Refund Done,S. Bhatt,paid to wallet
RF-1253,Wander Agency,AMD-BOM,7300,0,02/02/26,04-02-2026,Refund Done,,payout complete
RF-1368,TripHub,DEL-BOM,13700,0,01-04-2026,03-04-2026,Refund Done,,payout complete
RF-1361, Orbit Travels,DEL-BOM,8600,0,16-06-2026,18-06-2026,Refund Done,,settled
RF-1008,Sunrise Trips,AMD-BOM,7300,0,01-03-2026,03-03-2026,Refund Done,,payout complete
RF-1545,coral voyages,BOM-DXB,19000,0,25-02-2026,01-03-2026,Refund Done,,settled
RF-1115,GoFly Holidays,CCU-BOM,12600,,11-04-2026,13-04-2026,Refund Done,,settled
RF-1111,TripHub,HYD-BKK,30500,,22-03-2026,25-03-2026,Refund Done,N. Iyer,transferred
RF-1746,DeccanFly,BLR-DXB,24900,0,22-05-2026,04-06-2026,Refund Done,S. Bhatt,settled
RF-1250,Kaveri Tours,DEL-CCU,12400,,04-04-2026,06-04-2026,Refund Done,,NEFT done
RF-1693,TripHub,BOM-DXB,19000,0,14/02/26,18/02/26,Refund Done,,NEFT done
RF-1431,GoFly Holidays,DEL-CCU,12300,,27-03-2026,29-03-2026,Refund Done,,payout complete
RF-1030,Voyage Desk,AMD-BOM,,,27-06-2026,,Pending Payout,,awaiting approval
RF-1242,BlueJet Tours,DEL-DXB,12900,0,05-03-2026,06-03-2026,Refund Done,,settled
RF-1851,Voyage Desk,BLR-DXB,30500,0,20-04-2026,22-04-2026,Refund Done,N. Iyer,transferred
RF-1021,Kaveri Tours,AMD-BOM,7000,,04-03-2026,08-03-2026,Refund Done,,settled
RF-1119,GoFly Holidays,COK-DXB,24000,0,10-04-2026,13-04-2026,Refund Done,S. Bhatt,NEFT done
RF-1217,PEAK JOURNEYS,CCU-BOM,9100,,24-02-2026,28-02-2026,Refund Done,,transferred
RF-1179,GoFly Holidays,CCU-BOM,12600,0,26-04-2026,28-04-2026,Refund Done,,NEFT done
RF-1264,Global Wings,BOM-BKK,24200,0,13-04-2026,16-04-2026,Refund Done,S. Bhatt,payout complete
RF-1805,Peak Journeys,DEL-DXB,10300,1500,07-05-2026,11-05-2026,Refund Done,,payout complete
RF-1171,nomad travel,DEL-KUL,17200,0,22-04-2026,25-04-2026,Refund Done,,payout complete
RF-1161,Nomad Travel,DEL-DXB,17200,1500,21-05-2026,27-05-2026,Refund Done,,paid to wallet
RF-1055,Sunrise Trips,HYD-DEL,5800,,20-04-2026,23-04-2026,Refund Done,,payout complete
RF-1703,Skyline Travels,DEL-BOM,6700,0,28-02-2026,04-03-2026,Refund Done,,NEFT done
rf-1594,TripHub,DEL-BOM,6800,0,14-05-2026,16-05-2026,Refund Done,,paid to wallet
RF-1842,SafarNama Travel,COK-DXB,17400,1500,05-06-2026,08-06-2026,Refund Done,,payout complete
RF1384,BlueJet Tours,BLR-DXB,28900,,11-02-2026,13-02-2026,Refund Done,N. Iyer,transferred
RF-1287,Metro Yatra,CCU-BOM,11100,0,29-04-2026,03-05-2026,Refund Done,,paid to wallet
RF-1513,TripHub,DEL-CCU,4700,0,23-05-2026,24-05-2026,Refund Done,,paid to wallet
RF-1832,Nomad Travel,DEL-KTM,15700,1500,20-06-2026,25-06-2026,Refund Done,,payout complete
RF-1212,METRO YATRA,HYD-DEL,12400,0,16-06-2026,21-06-2026,Refund Done,,NEFT done
RF-1698,TripHub,BLR-MAA,7500,0,03-04-2026,05-04-2026,Refund Done,,settled
RF-1116, Yatri Junction,BLR-DXB,24700,,09-02-2026,13-02-2026,Refund Done,N. Iyer,NEFT done
RF-1346,Nomad Travel,HYD-DEL,13000,0,27-03-2026,29-03-2026,Refund Done,,settled
RF-1073,Peak Journeys,BLR-MAA,7500,0,14-06-2026,17-06-2026,Refund Done,,settled
RF-1785,GoFly Holidays,BLR-DXB,17900,0,02-04-2026,06-04-2026,Refund Done,,NEFT done
RF-1158,Kaveri Tours,DEL-SIN,39400,0,06-02-2026,10-02-2026,Refund Done,N. Iyer,paid to wallet
RF-1019,GoFly Holidays,DEL-KTM,13500,,04-06-2026,07-06-2026,Refund Done,,NEFT done
RF-1728,GoFly Holidays,PNQ-DEL,6500,,22-05-2026,25-05-2026,Refund Done,,transferred
RF-1798,GoFly Holidays,DEL-BOM,4300,0,20-05-2026,23-05-2026,Refund Done,,paid to wallet
RF-1315,Kaveri Tours,BOM-DXB,,2000,20-06-2026,,Pending Payout,,hold - amount mismatch
RF-1398,Pinnacle Getaways,CCU-BOM,6900,0,24-04-2026,25-04-2026,Refund Done,,payout complete
RF-1124,GoFly Holidays,HYD-DEL,11900,,25-03-2026,27-03-2026,Refund Done,,NEFT done
RF-1256,Peak Journeys,BOM-DXB,13200,0,22-04-2026,23-04-2026,Refund Done,,settled
RF-1617,anand travels,HYD-DEL,9300,0,08-03-2026,09-03-2026,Refund Done,,transferred
RF-1069,Peak Journeys,BLR-DXB,22200,0,04-04-2026,07-04-2026,Refund Done,S. Bhatt,settled
RF-1016, SafarNama Travel,BLR-DXB,0,,05-06-2026,06-06-2026,Declined,,outside cancellation window
RF-1254,TripHub,GOI-BOM,8200,,05-02-2026,08-02-2026,Refund Done,,settled
RF-1140,Kaveri Tours,COK-DXB,13100,0,26-02-2026,27-02-2026,Refund Done,,NEFT done
RF-1222,TripHub,DEL-BOM,,0,30-06-2026,,Pending Payout,,hold - amount mismatch
RF-1580,SKYLINE TRAVELS,DEL-KUL,34300,,14-02-2026,16-02-2026,Refund Done,S. Bhatt,settled
RF-1439,BlueJet Tours,BLR-MAA,6900,,13-04-2026,15-04-2026,Refund Done,,settled
RF-1331,Wander Agency,GOI-BOM,4700,,17-04-2026,21-04-2026,Refund Done,,settled
RF-1606,BlueJet Tours,DEL-KUL,32500,,14-03-2026,20-03-2026,Refund Done,S. Bhatt,settled
RF-1139,Nomad Travel,DEL-DXB,14400,1500,09-05-2026,13-05-2026,Refund Done,,payout complete
RF-1830,Pinnacle Getaways,DEL-BOM,10300,0,11-02-2026,13-02-2026,Refund Done,,payout complete
RF-1078,TripHub,PNQ-DEL,10000,,03-05-2026,06-05-2026,Refund Done,,transferred
RF-1762,BlueJet Tours,DEL-DXB,0,,22-03-2026,23-03-2026,Declined,,rejected
RF-1362,SafarNama Travel,BLR-DXB,31400,0,06-04-2026,10/04/26,Refund Done,N. Iyer,transferred
RF-1160,GoFly Holidays,BLR-DXB,12500,1500,06-05-2026,12-05-2026,Refund Done,,NEFT done
RF-1529,TripHub,HYD-BKK,28600,0,21-02-2026,23-02-2026,Refund Done,S. Bhatt,payout complete
RF-1789,Orbit Travels,CCU-BOM,10900,0,22-06-2026,26-06-2026,Refund Done,,paid to wallet
RF-1409,Nomad Travel,MAA-CMB,7000,0,11-03-2026,14-03-2026,Refund Done,,NEFT done
RF-1198,GoFly Holidays,PNQ-DEL,10800,0,19-06-2026,25-06-2026,Refund Done,,paid to wallet
RF-1672,TripHub,DEL-SIN,26400,,17-05-2026,02-06-2026,Refund Done,N. Iyer,re-entry
RF-1586,Metro Yatra,PNQ-DEL,9700,0,28-04-2026,02-05-2026,Refund Done,,transferred
RF-1153,Metro Yatra,BOM-DXB,19100,,27-05-2026,31-05-2026,Refund Done,,payout complete
RF-1151,GoFly Holidays,BLR-DXB,27800,0,01-03-2026,03-03-2026,Refund Done,N. Iyer,paid to wallet
RF-1853,Coral Voyages,PNQ-DEL,8400,0,08-03-2026,09-03-2026,Refund Done,,paid to wallet
RF-1334,GoFly Holidays,DEL-BOM,6500,0,16-02-2026,19-02-2026,Refund Done,,payout complete
RF-1552,BlueJet Tours,COK-DXB,,1500,30-06-2026,,Pending Payout,,pending manager sign-off
RF-1195,Peak Journeys,DEL-KUL,0,,28-05-2026,29-05-2026,Declined,,outside cancellation window
RF-1058,Metro Yatra,BOM-DXB,28200,0,11-05-2026,03-06-2026,Refund Done,N. Iyer,settled
RF1435,Anand Travels,HYD-DEL,13100,,03-03-2026,06-03-2026,Refund Done,,NEFT done
RF-1592,BlueJet Tours,BLR-MAA,6400,0,13-03-2026,14-03-2026,Refund Done,,payout complete
RF-1613,Kaveri Tours,AMD-BOM,,0,28-06-2026,,Pending Payout,,in queue
RF-1147,Global Wings,AMD-BOM,3700,,24-03-2026,26-03-2026,Refund Done,,NEFT done
RF-1467,GoFly Holidays,DEL-SIN,19900,0,16-06-2026,20-06-2026,Refund Done,,transferred
RF-1351,TripHub,HYD-BKK,31100,0,10-04-2026,12-04-2026,Refund Done,N. Iyer,payout complete
RF-1056,GoFly Holidays,CCU-BOM,11400,0,01-04-2026,02-04-2026,Refund Done,,paid to wallet
RF-1572,BlueJet Tours,GOI-BOM,0,,17/05/26,23-05-2026,Declined,,outside cancellation window
RF-1817,TripHub,PNQ-DEL,0,,01-03-2026,07-03-2026,Declined,,not approved
RF-1653,Himalaya Holidays,DEL-SIN,28300,0,08-02-2026,13-02-2026,Refund Done,S. Bhatt,paid to wallet
RF-1742,BlueJet Tours,DEL-BOM,8600,,22-03-2026,26-03-2026,Refund Done,,payout complete
RF-1610,TripHub,HYD-DEL,10100,0,08-02-2026,09-02-2026,Refund Done,,settled
RF-1343, Skyline Travels,CCU-BOM,10800,0,01-04-2026,02-04-2026,Refund Done,,settled
RF-1520,Nomad Travel,DEL-DXB,20000,0,28-02-2026,02-03-2026,Refund Done,,payout complete
RF-1747,GoFly Holidays,BLR-MAA,5000,0,22-06-2026,27-06-2026,Refund Done,,paid to wallet
RF-1038,Wander Agency,DEL-BOM,12400,0,19-03-2026,21-03-2026,Refund Done,,NEFT done
RF-1504,Nomad Travel,DEL-SIN,0,0,19-06-2026,22-06-2026,Declined,,outside cancellation window
RF-1686,TripHub,HYD-BKK,26900,0,25-03-2026,30-03-2026,Refund Done,N. Iyer,NEFT done
RF-1012,BlueJet Tours,DEL-DXB,18100,,08-02-2026,11-02-2026,Refund Done,,payout complete
RF-1205,DeccanFly,HYD-BKK,24800,0,06-03-2026,11-03-2026,Refund Done,N. Iyer,paid to wallet
RF-1164,Sunrise Trips,DEL-BOM,10700,0,01/03/26,05-03-2026,Refund Done,,settled
RF-1182,Himalaya Holidays,CCU-BOM,6000,,22-05-2026,26-05-2026,Refund Done,,settled
RF-1850,Orbit Travels,BOM-BKK,32500,0,04-04-2026,08-04-2026,Refund Done,N. Iyer,settled
RF-1074,BlueJet Tours,HYD-DEL,,0,30-06-2026,,Pending Payout,,hold - amount mismatch
RF-1312,Orbit Travels,PNQ-DEL,5400,,27-05-2026,29-05-2026,Refund Done,,settled
RF-1337,Pinnacle Getaways,HYD-DEL,12300,,07-02-2026,11-02-2026,Refund Done,,settled
RF-1734,Wander Agency,MAA-CMB,15500,0,07-03-2026,10-03-2026,Refund Done,,payout complete
RF-1369,Yatri Junction,DEL-KTM,,1500,27-06-2026,,Pending Payout,,awaiting approval
RF-1404,Voyage Desk,DEL-DXB,18600,0,12-04-2026,16-04-2026,Refund Done,,settled
RF-1786,Peak Journeys,HYD-DEL,7300,,18-02-2026,21-02-2026,Refund Done,,transferred
RF-1672,TripHub,DEL-SIN,26400,,17-05-2026,02-06-2026,Refund Done,N. Iyer,transferred
RF-1149,BlueJet Tours,BOM-BKK,23900,0,04-04-2026,08-04-2026,Refund Done,N. Iyer,NEFT done
RF-1276,Skyline Travels,CCU-BOM,11600,0,19-02-2026,20-02-2026,Refund Done,,transferred
RF-1177,Pinnacle Getaways,DEL-KUL,13300,0,26-03-2026,28-03-2026,Refund Done,,duplicate check pending
RF-1487,Yatri Junction,COK-DXB,28000,,01-05-2026,04-05-2026,Refund Done,N. Iyer,transferred
